rating,date,content,cleaned_content,month,season,tokens,review_length
5,2025-11-14,콜라 30개 구매했더니 한동안 잘 먹을 것 같습니다.시중 구매가격보다 저렴한 듯 하여 만족합니다.,콜라 30개 구매했더니 한동안 잘 먹을 것 같습니다시중 구매가격보다 저렴한 듯 하여 만족합니다,11,Fall,콜라 30개 구매했더니 한동안 잘 먹을 것 같습니다시중 구매가격보다 저렴한 듯 하여 만족합니다,52
5,2025-11-17,몸에 새로운 설탕이 한 톨도 들어 가지 않은 좋은 콜라제로콜라는 건강에 도움을 주는 고마운 콜라,몸에 새로운 설탕이 한 톨도 들어 가지 않은 좋은 콜라제로콜라는 건강에 도움을 주는 고마운 콜라,11,Fall,몸에 새로운 설탕이 한 톨도 들어 가지 않은 좋은 콜라제로콜라는 건강에 도움을 주는 고마운 콜라,53
5,2025-11-14,배송이 빠르고 좋아요 만족합니다 많이파세요!이벤트 당첨과는 거리가 먼듯 그래도 쟁여두고 먹습니다,배송이 빠르고 좋아요 만족합니다 많이파세요이벤트 당첨과는 거리가 먼듯 그래도 쟁여두고 먹습니다,11,Fall,배송이 빠르고 좋아요 만족합니다 많이파세요이벤트 당첨과는 거리가 먼듯 그래도 쟁여두고 먹습니다,52
5,2025-06-04,"2박스를 주문했는데 1박스만 먼저 온거예요. 주문내역을 다시 확인하고 이건 누락이다!! 생각하고 배송누락을 눌렀는데 바로 다음날 다른 제품과 함께 배송되었습니다. 누락없는 만족 배송, 아주 좋아요!유통기한은 27년 4월까지로 여유로워요. 그 전에 다 먹고 주문할게요~",2박스를 주문했는데 1박스만 먼저 온거예요 주문내역을 다시 확인하고 이건 누락이다 생각하고 배송누락을 눌렀는데 바로 다음날 다른 제품과 함께 배송되었습니다 누락없는 만족 배송 아주 좋아요유통기한은 27년 4월까지로 여유로워요 그 전에 다 먹고 주문할게요,6,Summer,2박스를 주문했는데 1박스만 먼저 온거예요 주문내역을 다시 확인하고 이건 누락이다 생각하고 배송누락을 눌렀는데 바로 다음날 다른 제품과 함께 배송되었습니다 누락없는 만족 배송 아주 좋아요유통기한은 27년 4월까지로 여유로워요 그 전에 다 먹고 주문할게요,141
5,2025-09-10,좋아요 잘먹을께요.. 추천합니다..,좋아요 잘먹을께요 추천합니다,9,Fall,좋아요 잘먹을께요 추천합니다,15
5,2025-08-21,여름이라 많이 마셔지네요,여름이라 많이 마셔지네요,8,Summer,여름이라 많이 마셔지네요,13
5,2025-09-04,재구매로 맛있게먹어요,재구매로 맛있게먹어요,9,Fall,재구매로 맛있게먹어요,11
4,2025-12-09,제코를 자주 먹는지라 쟁겨둡니다. 쥐마켓에서 개인카드 할인까지 적용되어 저렴하게 구매했습니다.,제코를 자주 먹는지라 쟁겨둡니다 쥐마켓에서 개인카드 할인까지 적용되어 저렴하게 구매했습니다,12,Winter,제코를 자주 먹는지라 쟁겨둡니다 쥐마켓에서 개인카드 할인까지 적용되어 저렴하게 구매했습니다,50
5,2026-01-14,저렴하게 구입 했어요 배송도 무척 빠르고 좋네요 맛있어요,저렴하게 구입 했어요 배송도 무척 빠르고 좋네요 맛있어요,1,Winter,저렴하게 구입 했어요 배송도 무척 빠르고 좋네요 맛있어요,31
5,2026-01-14,배송도 빠르고 키링도 귀엽네요 저렴하게 구매했어요,배송도 빠르고 키링도 귀엽네요 저렴하게 구매했어요,1,Winter,배송도 빠르고 키링도 귀엽네요 저렴하게 구매했어요,27
5,2026-01-17,시중보다 저렴합니다아들이 관리중이라 구매했습니다,시중보다 저렴합니다아들이 관리중이라 구매했습니다,1,Winter,시중보다 저렴합니다아들이 관리중이라 구매했습니다,26
5,2026-01-13,할인 행사 하길래 사봤어요. 맛이 좋네요,할인 행사 하길래 사봤어요 맛이 좋네요,1,Winter,할인 행사 하길래 사봤어요 맛이 좋네요,21
5,2026-01-14,여기가 제일 싼거같아요 증정품도 예쁘고,여기가 제일 싼거같아요 증정품도 예쁘고,1,Winter,여기가 제일 싼거같아요 증정품도 예쁘고,21
5,2026-01-09,배송빠르고 좋아요 저렴하게 잘 구입했네요 잘먹겠습니다,배송빠르고 좋아요 저렴하게 잘 구입했네요 잘먹겠습니다,1,Winter,배송빠르고 좋아요 저렴하게 잘 구입했네요 잘먹겠습니다,29
5,2026-01-11,코카콜라제로 적당한 용량 시원하고 깔끔한 맛 좋아요,코카콜라제로 적당한 용량 시원하고 깔끔한 맛 좋아요,1,Winter,코카콜라제로 적당한 용량 시원하고 깔끔한 맛 좋아요,28
5,2026-01-09,배송잘받앗어요잘먹을게요코카콜라가맛잇네요빨리먹고싶네요,배송잘받앗어요잘먹을게요코카콜라가맛잇네요빨리먹고싶네요,1,Winter,배송잘받앗어요잘먹을게요코카콜라가맛잇네요빨리먹고싶네요,28
5,2026-01-09,코카콜라 제로 잘 받았습니다. 감사합니다.,코카콜라 제로 잘 받았습니다 감사합니다,1,Winter,코카콜라 제로 잘 받았습니다 감사합니다,21
5,2026-01-09,배송 빠르고 상품 좋아요. 감사합니다.,배송 빠르고 상품 좋아요 감사합니다,1,Winter,배송 빠르고 상품 좋아요 감사합니다,19
5,2026-01-08,계속 마시는 거라 한개밖에 안 남았기에 주문했는데 배송이 빠르고 좋습니다,계속 마시는 거라 한개밖에 안 남았기에 주문했는데 배송이 빠르고 좋습니다,1,Winter,계속 마시는 거라 한개밖에 안 남았기에 주문했는데 배송이 빠르고 좋습니다,40
5,2026-01-06,제로 콜라 늘 재구매합니다 신랑이 하루 한캔 늘 마셔요,제로 콜라 늘 재구매합니다 신랑이 하루 한캔 늘 마셔요,1,Winter,제로 콜라 늘 재구매합니다 신랑이 하루 한캔 늘 마셔요,30
5,2026-01-07,잘받았습니다.유통기한은 26년 10월 입니다.,잘받았습니다유통기한은 26년 10월 입니다,1,Winter,잘받았습니다유통기한은 26년 10월 입니다,23
